  KIC = 8120608; CANDIDATE = 5
  PERIOD = 129.94545101; BKJD0 = 176.82719002

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL
  137.39620934  -0.303443  -1.63981081e-05   2.68995923e-04   0.00000000e+00
  137.41664394  -0.303285   8.12968039e-05   2.69123317e-04   0.00000000e+00
  137.43707844  -0.303128  -1.72537959e-06   2.69049004e-04   0.00000000e+00
  137.45751284  -0.302971   3.15107722e-04   2.69117347e-04   0.00000000e+00
  137.47794744  -0.302814   2.49178869e-04   2.69022417e-04   0.00000000e+00
  137.49838194  -0.302656  -5.06758444e-04   2.69043434e-04   0.00000000e+00
  137.51881634  -0.302499   2.38262921e-04   2.69119039e-04   0.00000000e+00
  137.53925084  -0.302342   5.77569024e-05   2.68993554e-04   0.00000000e+00
  137.55968544  -0.302185   3.63402571e-04   2.69004108e-04   0.00000000e+00
  137.58011983  -0.302027   2.76810290e-04   2.69069313e-04   0.00000000e+00
  137.60055433  -0.301870   2.43337483e-04   2.68809787e-04   0.00000000e+00
  137.62098893  -0.301713  -1.48360457e-05   2.69170551e-04   0.00000000e+00
  137.64142343  -0.301556  -3.12370869e-05   2.68983707e-04   0.00000000e+00
  137.66185783  -0.301398  -1.76206356e-04   2.69209384e-04   0.00000000e+00
  137.68229233  -0.301241  -1.14277884e-04   2.69186490e-04   0.00000000e+00
  137.70272693  -0.301084   7.00655079e-05   2.69222770e-04   0.00000000e+00
  137.72316133  -0.300926  -1.67747778e-05   2.69116701e-04   0.00000000e+00
  137.74359583  -0.300769   4.95295113e-04   2.69226985e-04   0.00000000e+00
  137.76403042  -0.300612  -7.71337327e-05   2.69128271e-04   0.00000000e+00
  137.78446482  -0.300455   4.10842083e-04   2.69157411e-04   0.00000000e+00
  137.80489932  -0.300297   7.75200622e-06   2.69253141e-04   0.00000000e+00
  138.13185130  -0.297781  -2.00522007e-04   2.69345948e-04   0.00000000e+00
  138.15228579  -0.297624  -3.20346099e-04   2.68978322e-04   0.00000000e+00
  138.17272019  -0.297467  -2.81208048e-04   2.68994754e-04   0.00000000e+00
  138.19315469  -0.297310   4.59708599e-04   2.69240217e-04   0.00000000e+00
  138.21358929  -0.297152  -6.43847275e-04   2.69094884e-04   0.00000000e+00
  138.23402378  -0.296995  -4.43635138e-05   2.69098823e-04   0.00000000e+00
  138.25445818  -0.296838  -1.38356148e-04   2.69028325e-04   0.00000000e+00
  138.27489278  -0.296681   3.90722932e-05   2.69078667e-04   0.00000000e+00
  138.29532728  -0.296523  -2.12542127e-04   2.69133133e-04   0.00000000e+00
  138.31576168  -0.296366  -9.61493679e-05   2.69152519e-04   0.00000000e+00
  138.33619617  -0.296209  -3.05897259e-04   2.69176613e-04   0.00000000e+00
  138.35663077  -0.296052   2.35030946e-06   2.68965029e-04   0.00000000e+00
  138.37706527  -0.295894  -3.39948529e-04   2.69219139e-04   0.00000000e+00
  138.39749967  -0.295737  -2.61092455e-04   2.68999062e-04   0.00000000e+00
  138.41793426  -0.295580  -4.03518919e-04   2.69000600e-04   0.00000000e+00
  138.43836876  -0.295423  -1.05354046e-05   2.69069036e-04   0.00000000e+00
  138.45880316  -0.295265   1.87829587e-04   2.68988661e-04   0.00000000e+00
  138.47923765  -0.295108   5.93064651e-06   2.69106331e-04   0.00000000e+00
  138.49967225  -0.294951   2.65940264e-04   2.69008139e-04   0.00000000e+00
  138.52010665  -0.294794   4.73493858e-04   2.69068913e-04   0.00000000e+00
  138.54054115  -0.294636  -2.50529338e-04   2.69150549e-04   0.00000000e+00
  138.56097564  -0.294479   7.11883145e-05   2.69030325e-04   0.00000000e+00
  138.58141014  -0.294322  -2.02153420e-04   2.69054666e-04   0.00000000e+00
  138.60184464  -0.294165  -2.22211566e-04   2.69034418e-04   0.00000000e+00
  138.62227913  -0.294007   2.17421988e-04   2.68864868e-04   0.00000000e+00
  138.64271363  -0.293850  -7.95721931e-04   2.68952289e-04   0.00000000e+00
  138.66314813  -0.293693   2.51082081e-04   2.69234217e-04   0.00000000e+00
  138.68358262  -0.293536  -1.20227532e-05   2.69068759e-04   0.00000000e+00
  138.70401702  -0.293378   8.62872432e-05   2.69294282e-04   0.00000000e+00
  138.72445162  -0.293221  -3.47618463e-04   2.69069374e-04   0.00000000e+00
  138.74488611  -0.293064  -4.81840020e-04   2.69011309e-04   0.00000000e+00
  138.76532051  -0.292907   1.52328239e-04   2.68963829e-04   0.00000000e+00
  138.78575511  -0.292749   4.01573236e-04   2.68877299e-04   0.00000000e+00
  138.80618960  -0.292592   4.18745364e-04   2.69081960e-04   0.00000000e+00
  138.82662400  -0.292435   1.08849157e-04   2.68967244e-04   0.00000000e+00
  138.84705850  -0.292277   1.72277082e-04   2.68980353e-04   0.00000000e+00
  138.86749309  -0.292120   1.21279262e-04   2.69085560e-04   0.00000000e+00
  138.88792759  -0.291963   8.91738953e-05   2.69045280e-04   0.00000000e+00
  138.90836198  -0.291806   1.92543382e-04   2.69096238e-04   0.00000000e+00
  138.92879658  -0.291648  -2.96643808e-04   2.69086545e-04   0.00000000e+00
  138.94923108  -0.291491  -3.04932499e-04   2.68951181e-04   0.00000000e+00
  138.96966547  -0.291334  -1.94331929e-04   2.68841481e-04   0.00000000e+00
  138.99009997  -0.291177  -4.55699183e-04   2.68999770e-04   0.00000000e+00
  139.01053456  -0.291019  -3.74164623e-05   2.68979122e-04   0.00000000e+00
  139.03096896  -0.290862  -1.41910531e-04   2.68984107e-04   0.00000000e+00
  139.05140346  -0.290705  -4.48393875e-04   2.69139564e-04   0.00000000e+00
  139.07183805  -0.290548   2.63450379e-04   2.68960598e-04   0.00000000e+00
  139.09227245  -0.290390   9.91714474e-05   2.69001616e-04   0.00000000e+00
  139.11270694  -0.290233   2.44556508e-04   2.68867360e-04   0.00000000e+00
  139.13314144  -0.290076  -5.65677120e-05   2.69091407e-04   0.00000000e+00
  139.15357594  -0.289919  -1.63284983e-04   2.69042757e-04   0.00000000e+00
  139.17401043  -0.289761   3.02146170e-04   2.69035495e-04   0.00000000e+00
  139.19444493  -0.289604   3.56927046e-06   2.69090176e-04   0.00000000e+00
  139.21487932  -0.289447  -1.66874665e-04   2.68943335e-04   0.00000000e+00
  139.23531392  -0.289290   2.43770650e-04   2.68987215e-04   0.00000000e+00
  139.25574841  -0.289132   6.16410336e-04   2.68924810e-04   0.00000000e+00
  139.27618281  -0.288975  -1.87686467e-06   2.69132117e-04   0.00000000e+00
  139.29661740  -0.288818  -2.76340656e-04   2.69113593e-04   0.00000000e+00
  139.31705190  -0.288661   1.59700378e-04   2.68964906e-04   0.00000000e+00
  139.33748639  -0.288503   2.79120074e-04   2.69063805e-04   0.00000000e+00
  139.35792079  -0.288346   2.26938260e-04   2.68954382e-04   0.00000000e+00
  139.37835538  -0.288189  -2.30962461e-04   2.69126794e-04   0.00000000e+00
  139.39878988  -0.288032  -1.87067696e-05   2.69129963e-04   0.00000000e+00
  139.41922427  -0.287874  -5.07749356e-05   2.69047927e-04   0.00000000e+00
  139.43965887  -0.287717  -1.71441852e-04   2.69122178e-04   0.00000000e+00
  139.46009336  -0.287560  -8.48725303e-05   2.69172089e-04   0.00000000e+00
  139.48052776  -0.287403  -7.23177235e-05   2.69185844e-04   0.00000000e+00
  139.50096225  -0.287245  -2.85885272e-04   2.69229016e-04   0.00000000e+00
  139.52139685  -0.287088   1.04573977e-04   2.69055343e-04   0.00000000e+00
  139.54183124  -0.286931  -3.31964101e-04   2.68911394e-04   0.00000000e+00
  139.56226574  -0.286774   9.87890627e-05   2.69092022e-04   0.00000000e+00
  139.58270033  -0.286616   3.70969507e-04   2.69023987e-04   0.00000000e+00
  139.60313473  -0.286459   6.05381370e-04   2.68682270e-04   0.00000000e+00
  139.62356922  -0.286302   9.34830939e-05   2.69016048e-04   0.00000000e+00
  139.64400371  -0.286145   2.22332985e-06   2.68743475e-04   0.00000000e+00
  139.66443831  -0.285987  -4.22564875e-04   2.68659992e-04   0.00000000e+00
  139.68487270  -0.285830   3.20170508e-04   2.68540476e-04   0.00000000e+00
  139.70530720  -0.285673  -1.80993918e-04   2.68743598e-04   0.00000000e+00
